Grupo,Accion,Producto,Fila en Productos,SKU,Codigo de Barras,Precio,Costo,Existencia,ID del sistema,Nota
FUSIONAR,,,,,,,,,,35 grupos: desactivar el marcado DESACTIVAR y dejar activo el marcado CONSERVAR
1,CONSERVAR,TIC TAC FRUIT ADVENTURE,694,009800007608,009800007608,127.12,107.81,2,48dec548-9f14-42d2-a67a-c3c19facbd95,Tiene SKU y codigo de barras. Revisar precio: costo 107.81 deja margen muy bajo
1,DESACTIVAR,TIC TAC FRUIT ADVENTURE,5,,009800007226,132.00,91.04,2,0c273869-0a11-47b3-9360-7c89c80298d3,Pasar sus 2 unidades al que se conserva (total 4)
4,CONSERVAR,MUSCLE MILK PRO CHOCOLATE,1256,876063003100,876063003100,296.57,183.67,,8382ca7e-28a0-45c3-ab21-dc11e01a89ce,Nombre completo con SKU costo y codigo de barras
4,DESACTIVAR,MUSCLE MILK-CHOCOLATE,122,876063003100,876063003100,290.00,,19,01ca7fc2-45ee-461b-8eb6-35fc5d75cd72,Mismo codigo de barras. Pasar sus 19 unidades al que se conserva
4,VERIFICAR,MUSCLE MILK PRO CHOCOLATE,29,,052000066944,333.93,183.66,12,8ec29f43-6d69-4f6a-a270-c5dd76a0cb2a,Codigo de barras distinto: confirmar en fisico si es otro tamano antes de desactivar
6,CONSERVAR,BIZCOCHO DE ZANAHORIA,1860,00001223,,318.18,175.00,,bd648800-11db-49b0-89ec-e118fb586d50,Tiene SKU
6,DESACTIVAR,bizcocho de zanahoria,95,,,318.18,175.00,,16f73031-d21f-4f4b-8723-eedacb3bb73b,Sin SKU y en minusculas
7,CONSERVAR,COCO HORNEADO,576,00000253,,227.27,125.00,,3aaff0f3-10d4-4fc2-901b-06fa24e14141,Tiene SKU y categoria POSTRES
7,DESACTIVAR,coco horneado,96,,,227.27,125.00,,42809ea4-5932-4dcc-b350-7463660d4217,Sin SKU y en minusculas
9,CONSERVAR,VUSE GO MAX BERRY BLEND,140,7702303629997,7702303629997,635.90,521.19,,0f460212-28e3-4a88-acaf-16cc0cf00267,ESCANEAR el producto: si la pistola lee el otro codigo conservar el otro
9,DESACTIVAR,VUSE GO MAX BERRY BLEND,2353,7702303621267,7702303621267,635.90,521.19,,edf1687b-b1ab-4383-a3bd-5f17d14e3d94,Datos identicos al anterior
11,CONSERVAR,SUPLIGEN CHOCOLATE,827,752046152570,752046152570,205.38,111.31,3,56edc7f1-bd94-4887-9393-47d77b0bc7f5,Codigo de barras real y existencia
11,DESACTIVAR,SUPLIGEN CHOCOLATE.,217,1609,,205.38,111.31,,16d72a4b-1cfa-48e8-818f-9a4575a201bf,Nombre con punto al final y sin codigo de barras
12,CONSERVAR,KIT KAT,1855,,7891000248768,73.33,55.08,,bcb93b2d-4890-47aa-9578-a99825d9399e,Codigo de barras real y costo correcto
12,DESACTIVAR,KIT KAT,329,03424607,,73.33,73.33,,216295f6-68ad-4d9c-9aac-5206ecaaabe9,Costo igual al precio: margen cero
13,CONSERVAR,PAPITAS DE QUESO CARLES,331,7460590002724,7460590002724,63.00,,10,21beabd6-e471-4e7e-a063-8fca427327ed,Tiene existencia. Cambiar categoria de GUARNICIONES a TIENDA y cargarle el costo 57.07
13,DESACTIVAR,CARLES DE QUESO,1737,7460590002724,7460590002724,57.00,57.07,,afd57a05-eb5c-457d-9929-1307f7c191df,Mismo codigo de barras. Precio 57.00 con costo 57.07 da perdida
15,CONSERVAR,SOUR PATCH KIDS,346,00000983,,115.00,85.00,,2344a1b8-ef99-4bfe-a11e-7f1d37ac33eb,OJO COPIARLE el codigo de barras 070462098501 ANTES de desactivar el otro
15,DESACTIVAR,SOUR PATCH KIDS,2359,,070462098501,115.00,85.00,,ee6aea51-aa2b-4f3b-903f-0c786c9f271c,Sin categoria
17,CONSERVAR,KINDER JOY,414,,009800570034,158.72,126.27,,2af227ea-b150-446a-a628-29b5fc8b7179,Corregir categoria: esta en TRAGOS. Escanear para confirmar el codigo
17,DESACTIVAR,KINDER JOY,1746,,0009800570096,150.72,109.46,,b130ec18-f75d-4cff-be96-50e2dfe4a751,Esta en categoria CROISSANTS
18,CONSERVAR,MIEL RINCON EXTRA HOT,2179,,745853544997,540.00,400.00,7,dca8395b-6187-44f7-9b1b-c8f6fd7309ed,Codigo de barras real y existencia 7. Definir precio final: 540 o 600
18,DESACTIVAR,MIEL RINCON EXTRA HOT,431,1083,,600.00,400.00,,2c54c662-10c7-4041-bb58-2586fea57d76,Sin codigo de barras
20,CONSERVAR,YUMMI NUTS MIX,1550,750894671434,750894671434,22.54,15.00,-1,9d8d1930-76de-4e5a-b245-b1c6ca559095,Costo correcto. CORREGIR la existencia en -1
20,DESACTIVAR,YUMMI NUTS MIX,504,750894671229,750894671229,22.54,150.00,,34a9b86f-d0f0-42d3-8663-5b974c158e46,Costo 150.00 con precio 22.54: dato malo
21,CONSERVAR,VALLEY FRUITS - CEREZA,2160,00000936,,110.00,,,da4c713f-4a39-44e5-810a-8f0cfb3dc3fb,Los dos son iguales: dejar solo uno
21,DESACTIVAR,VALLEY FRUITS - CEREZA,558,00000937,,110.00,,,3936bf64-8e27-4096-a685-80e1b0bd88cb,Duplicado exacto
22,CONSERVAR,FLOR DE TILO,2505,1373,,217.50,100.00,,fa2bbcb5-c83f-4ea7-b481-09a0f20e55f4,SKU valido. Definir costo final: 100 o 150
22,DESACTIVAR,FLOR DE TILO,656,FLOR DE TILO,,217.50,150.00,,44c6e56a-e2fd-4567-987b-8e6a0beeabf9,Tiene el nombre metido en el campo de SKU
23,CONSERVAR,JOHNNIE WALKER GOLD LABEL RESERVE,661,5000267197630,5000267197630,5494.50,3704.08,18,452596f7-580a-4e88-9e0e-da357f2b9e32,OJO la existencia real es 18 NO 36. Escanear la botella para confirmar el codigo
23,DESACTIVAR,JOHNNIE WALKER GOLD LABEL RESERVE,1782,5000267107776,5000267107776,5494.50,3704.08,18,b64fdca0-8ad7-4d7d-bc74-cd836ba1d1e4,Mismo lote contado dos veces. NO sumar las existencias
24,CONSERVAR,DUETTO DE FRESA,825,,7467340337341,22.37,12.36,14,56cddc31-68b0-4ff2-9a45-b6257b6dc1d8,OJO la existencia real es 14 NO 28. Definir precio final: 22.37 o 13.86
24,DESACTIVAR,DUETTO DE FRESA,738,1514,,13.86,9.00,14,4e8a9f5c-ccce-4174-9e9b-9175dc66bff0,Mismo lote contado dos veces. NO sumar las existencias
25,CONSERVAR,VALLEY FRUITS - CHINOLA,783,00000938,,110.00,,,52b7331e-4e73-4ee1-bee9-f9b0f25c2995,Los dos son iguales: dejar solo uno
