categoria,codigo,nombre,precio,costo,existencia_listado,existencia_inicial,codigo_barras,activo,nota
Cervezas,8594003352331,BERNARD AMBER LAGER,390.00,220.3300,5.00,5.00,8594003352331,sí,
Cervezas,8594003351815,BERNARD BOHEMIAN ALE,490.00,290.0000,5.00,5.00,8594003351815,sí,
Cervezas,8594003352614,BERNARD CELEBRATION LAGER,390.00,220.3300,-2.00,0.00,8594003352614,sí,
Cervezas,8594003352522,BERNARD DARK LAGER,390.00,220.3300,6.00,6.00,8594003352522,sí,
Cervezas,8412598005862,BLACK COUPAGE 1906,210.00,114.0536,3.00,3.00,8412598005862,sí,
Cervezas,8500001270089,BUCANERO CERVEZA PEQ.,110.00,65.1800,0.00,0.00,8500001270089,sí,
Cervezas,8690582723200,CARLSBERG 330ML,120.00,66.2692,0.00,0.00,8690582723200,sí,
Cervezas,8690582722203,CARLSBERG LATA 330ML,85.00,0.0000,0.00,0.00,8690582722203,sí,
Cervezas,87120103,CERV. HEINEKEN LATA PEQ,100.00,59.6250,44.00,44.00,87120103,sí,
Cervezas,8714800001793,CERVEZA HOLLANDIA 330ML,85.00,49.0819,0.00,0.00,8714800001793,sí,
Cervezas,8423453910535,CERVEZA REPUBLICA DE BOTELLA,125.00,75.0000,0.00,0.00,8423453910535,sí,
Cervezas,8423453910566,CERVEZA REPUBLICA LATA,115.00,62.7800,0.00,0.00,8423453910566,sí,
Cervezas,8412598005831,ESTRELLA GALICIA,180.00,102.0480,17.00,17.00,8412598005831,sí,
Cervezas,8712000030582,HEINEKEN GRANDE,265.00,148.3333,152.00,152.00,8712000030582,sí,
Cervezas,8712000900045,HEINEKEN LATA GRANDE,190.00,106.0833,20.00,20.00,8712000900045,sí,
Cervezas,8714800014212,HOLANDIA 650 ML,120.00,80.2200,0.00,0.00,8714800014212,sí,
Cervezas,8714800007580,HOLLANDIA 500ML,75.00,53.6700,0.00,0.00,8714800007580,sí,
Cervezas,8714800031127,HOLLANDIA LIMON,85.00,61.3600,0.00,0.00,8714800031127,sí,
Cervezas,851621000043,KRONENBOURG BLANC 1664,175.00,105.3300,0.00,0.00,851621000043,sí,
Cervezas,8411327001076,MAHOU 5 ESTRELLA BOTELLA,175.00,98.7083,3.00,3.00,8411327001076,sí,
Cervezas,8411327003308,MAHOU 5 ESTRELLA EIGHT RADLER LATA,145.00,87.6600,0.00,0.00,8411327003308,sí,
Cervezas,8411327008419,MAHOU 5 STRELLAS,180.00,98.7083,6.00,6.00,8411327008419,sí,
Cervezas,8411327001717,MAHOU CERVEZA SIN ALCOHOL,80.00,47.3700,0.00,0.00,8411327001717,sí,
Cervezas,8411327001960,MAHOU MAESTRA,210.00,113.0000,-3.00,0.00,8411327001960,sí,
Cervezas,8001435310018,MORETTI REGULAR 330ML BOTELLA,180.00,107.3400,0.00,0.00,8001435310018,sí,
Cervezas,8423453909980,OCHO CERO NUEVE,95.00,57.1900,0.00,0.00,8423453909980,sí,
Cervezas,8594006931090,PRIMATO 24 DOUBLE 500.M.L,380.00,220.0000,0.00,0.00,8594006931090,sí,
Cervezas,8594006931328,PRIMATOR WEIZEN PSENICNE 500.ML,270.00,150.0000,0.00,0.00,8594006931328,sí,
Cervezas,8712000051945,RED STRIPE,100.00,40.0000,26.00,26.00,8712000051945,sí,
Cervezas,876529000476,ROGUE BATSQUATCH LATA,245.00,143.7800,0.00,0.00,876529000476,sí,
Cervezas,876529000421,ROGUE OUTTA LINE LATA,245.00,143.7800,0.00,0.00,876529000421,sí,
