codigo,nombre,cantidad_contada,unidad,nota
8413080006145,Aceituna Gourmet con hueso,1,unidad,
2050001115645,Anís Estrella,1,unidad,
787545193793,Sazón completo Baldom 8 lb,1,unidad,
8411070033867,Jengibre molido,1,unidad,
41331013703,Alcaparra,1,unidad,
607766553346,Paprika,1,unidad,
33844005115,Ajo granulado,1,unidad,CODIGO REPETIDO con el otro renglon
7622202375774,Trident Menta Fuerte,1,unidad,
2050001119407,Pasta Penne Bravo,2,unidad,
2050001119414,Pasta de coditos Bravo,2,unidad,
2050001132840,Crema de leche Bravo pequeña,2,unidad,
41500819389,Mostaza French’s,2,unidad,
8411070032268,Nuez moscada Bravo,2,unidad,
607766046411,Azúcar líquida blue agave,2,unidad,
751685110002,Lata de maíz dulce 70 oz Linda,2,unidad,
41224871229,Sesame Oil 6.28 oz,3,unidad,
7468622644454,Chispas de chocolate NTD 5 lb,3,unidad,
8076802085738,Pasta Penne,4,unidad,
8076800195132,Pasta Linguine,4,unidad,
7460123450718,Leche condensada Nestlé,5,unidad,
633148100013,Tajín,5,unidad,
607766705059,Vinagre balsámico 1 L,5,unidad,
33844005351,Cebolla granulada,5,unidad,
2050001107213,Vainilla blanca 16 oz,6,unidad,
33844005115,Pote de cinamon,7,unidad,CODIGO REPETIDO con el otro renglon
751685002925,Lata de tomates triturados 6.6 lb,7,unidad,
2050001106186,Bicarbonato Bravo,8,unidad,
2050001366528,Espaguetis Primavera,9,unidad,
2050001398321,Azúcar pulverizada,11,unidad,
7466774656202,Leche Parmalat sin lactosa 1 L,12,unidad,
2050001277725,Cocoa dulce,13,unidad,
7460548002660,Gatorade Fresa Sandía,21,unidad,
2050001222282,Leche condensada Condesa,25,unidad,
6921101250368,Huevos Sorpresa,120,unidad,
7702354501891,Caja de sopita Doña Gallina,168,unidad,
,Sazón azafrán Ranchero,180,unidad,SIN CODIGO: hay que escanearlo
